month,percentile,size_value
1,0,3.416668731252061
1,5,6.666671102504403
1,10,6.833341907508441
1,25,7.166670762504099
1,50,9.937507489069915
1,75,12.197931205483087
1,90,15.037515674077968
1,95,16.735433860798217
1,100,36.541705803163616
2,0,3.3750026406276223
2,5,4.41667033125363
2,10,6.916675993759184
2,25,7.666671625004931
2,50,10.583341068757685
2,75,12.625010409385297
2,90,16.79168434689243
2,95,17.33335442502083
2,100,25.50002041252024
3,0,3.3750042406291727
3,5,4.625004819379761
3,10,6.766667867501267
3,25,7.750006906256839
3,50,11.166680387513534
3,75,14.000014600014412
3,90,17.641685870643954
3,95,19.666685825018906
3,100,25.083354981271416
4,0,3.3750042406291727
4,5,5.312503173440659
4,10,6.833340612507188
4,25,7.770842339071397
4,50,11.083345118761649
4,75,13.895849817203747
4,90,16.562516948454267
4,95,19.69793927424106
4,100,25.416689806272863
5,0,1.0
5,5,3.5958353759395263
5,10,4.583339718756277
5,25,6.791672971881233
5,50,10.583344318760837
5,75,11.500011362511229
5,90,15.70835280564417
5,95,17.325018894393637
5,100,27.50002523752498
6,0,3.6666699250032218
6,5,4.366671047504334
6,10,6.900008897508782
6,25,7.833335887502616
6,50,10.375015540640293
6,75,12.333343175009746
6,90,15.008344373135973
6,95,22.0083511981427
6,100,25.791694046902016
7,0,3.3333350000016684
7,5,3.7895854585958646
7,10,4.754169772815588
7,25,7.2500029187529496
7,50,8.375007515632442
7,75,12.114598236733451
7,90,14.920850055329
7,95,18.406272008615456
7,100,20.41668815627124
8,0,3.8333358125024657
8,5,4.333336295002946
8,10,5.100004722504674
8,25,8.500012087511871
8,50,9.750010156260029
8,75,11.666678075011257
8,90,12.40834492313649
8,95,13.316678633761853
8,100,14.416680106263277
9,0,3.500000862500886
9,5,6.197922932974951
9,10,6.78334038875695
9,25,7.479172679693455
9,50,10.729174748445523
9,75,13.531264530483124
9,90,14.850015796265598
9,95,15.60418300907864
9,100,17.20835295314436
10,0,3.87500505312997
10,5,6.666675550008746
10,10,7.083340231256807
10,25,7.687507007819437
10,50,10.812512442199761
10,75,13.250014200014025
10,90,16.458348571890085
10,95,17.71876874454975
10,100,28.33335775002419
11,0,3.458334796876473
11,5,4.408337860629461
11,10,6.44583963719374
11,25,7.083344218760696
11,50,9.083341881258445
11,75,11.07292617110315
11,90,12.93334787001436
11,95,13.462512753450108
11,100,13.54167827813654
12,0,3.5833377687543706
12,5,6.66667315000642
12,10,6.75001165126145
12,25,7.416678381261505
12,50,10.33334310000965
12,75,13.16668366251675
12,90,16.96668435251748
12,95,17.316680953764173
12,100,30.916689168772344
